time,open,high,low,close,vol
1578268800,135.37,148.05,134.86,146.54,2799620.12572
1578873600,146.56,179.5,142.27,166.79,4574976.7459
1579478400,166.79,171.47,155.55,167.86,2213273.18068
1580083200,167.91,193.43,165.22,188.44,2832021.07663
1580688000,188.48,230.65,184.69,228.49,3470997.26544
1581292800,228.53,288.41,216.37,258.85,5939621.23312
1581897600,258.89,285.88,242.0,274.48,5188469.50121
1582502400,274.5,277.2,210.0,217.81,6457932.90023
1583107200,217.81,251.93,195.5,199.43,5137680.00487
1583712000,199.43,208.62,86.0,123.78,14789815.70106
1584316800,123.82,152.55,101.1,122.32,11531693.74471
1584921600,122.31,143.36,119.5,124.5,6613460.31407
1585526400,124.47,149.76,124.06,142.68,4918442.82175
1586131200,142.69,176.22,142.6,158.59,7843255.9423
1586736000,158.56,189.54,148.33,180.03,6963042.65527
1587340800,180.02,200.0,166.7,197.38,7306676.73642
1587945600,197.39,227.3,189.29,209.86,6890363.53637
1588550400,209.86,216.61,179.59,187.54,6902379.63527
1589155200,187.62,209.85,176.0,207.0,5967260.43774
1589760000,207.02,217.07,191.71,199.9,5331065.62027
1590364800,199.9,247.0,196.9,231.57,4530088.58138
1590969600,231.56,253.8,225.0,244.56,4414708.13506
1591574400,244.57,250.28,226.2,231.77,3056442.5613
1592179200,231.74,237.3,218.27,228.04,3144051.5027
1592784000,228.03,249.24,216.0,224.93,4445766.32605
1593388800,224.89,232.71,221.26,227.56,3100841.13838
1593993600,227.54,248.88,226.93,242.79,4289886.14639
1594598400,242.76,245.33,230.02,239.11,3001686.69182
1595203200,239.12,318.75,234.05,311.0,6076641.38733
1595808000,311.02,415.85,305.86,372.42,9244824.67952
1596412800,372.45,407.0,362.85,390.14,6576993.39017
1597017600,390.14,444.71,365.85,433.62,6590597.87305
1597622400,433.61,446.0,379.92,390.71,5203572.95772
1598227200,390.72,429.89,370.0,428.94,5591687.53907
1598832000,428.94,488.84,308.42,352.8,13682780.96188
1599436800,352.85,390.43,323.0,366.42,7754669.03464
1600041600,366.43,394.14,355.0,371.04,6092193.56225
1600646400,371.04,376.8,313.29,357.49,6100378.29173
1601251200,357.58,370.45,334.24,352.37,3981294.62941
1601856000,352.34,378.4,332.18,374.16,3805329.06825
1602460800,374.17,394.8,361.18,378.11,3956236.57263
1603065600,378.12,420.73,365.27,405.86,5074779.73349
1603670400,405.85,411.11,373.29,396.67,4755933.41039
1604275200,396.68,468.28,370.23,454.3,8341893.09966
1604880000,454.29,478.01,433.09,448.08,6539780.57886
1605484800,448.07,580.88,445.45,560.03,9174279.77279
1606089600,560.03,623.0,481.0,576.3,10429209.47146
1606694400,576.32,635.7,560.0,601.54,8027609.54695
1607299200,601.59,603.15,530.43,590.7,4909009.26296
1607904000,590.81,676.25,575.6,638.18,6936775.7109
1608508800,638.1,717.13,551.28,685.11,7473808.93661
1609113600,685.1,1011.07,681.04,978.28,9447316.9862
1609718400,978.33,1348.33,890.0,1254.25,16846289.4178
1610323200,1254.24,1298.0,915.0,1232.45,14358744.29849
1610928000,1232.5,1438.3,1042.31,1392.51,12347266.70021
1611532800,1392.19,1475.0,1207.0,1312.55,11196117.05291
1612137600,1312.45,1760.49,1269.99,1611.62,9848664.63364
1612742400,1611.46,1871.72,1563.89,1800.42,6832312.13113
1613347200,1800.03,2042.34,1655.67,1933.53,6415195.21066
1613952000,1933.54,1936.29,1293.18,1419.18,10465746.31715
1614556800,1418.67,1734.16,1409.91,1726.16,6929607.56181
1615161600,1726.46,1944.3,1664.96,1848.1,6286994.50162
1615766400,1848.1,1891.76,1711.68,1782.98,4470159.77967
1616371200,1783.23,1807.51,1536.92,1687.01,3923684.95499
1616976000,1687.16,2146.0,1677.85,2075.69,4835867.4205
1617580800,2075.7,2200.0,1930.01,2151.36,4226761.72748
1618185600,2151.42,2548.29,1946.8,2235.64,6115364.25272
1618790400,2235.65,2644.47,2055.0,2320.49,9598920.80397
1619395200,2320.44,2985.0,2303.64,2949.56,5669052.5008
1620000000,2949.33,3983.65,2949.32,3923.95,8141949.96585
1620604800,3923.95,4372.72,3343.06,3582.1,9789006.91047
1621209600,3581.81,3587.06,1728.74,2096.39,17769636.20886
1621814400,2096.63,2910.0,2079.94,2385.98,11069936.93243
1622419200,2385.82,2891.95,2271.44,2711.92,7305827.50833
1623024000,2711.92,2847.55,2256.22,2509.33,6934583.77736
1623628800,2509.33,2640.0,2040.68,2243.47,4489080.67414
1624233600,2243.49,2260.16,1700.48,1982.28,7332181.21578
1624838400,1982.27,2389.93,1960.52,2322.69,5406154.19687
1625443200,2322.69,2409.0,2046.51,2140.45,4693880.50963
1626048000,2140.54,2167.83,1844.45,1891.64,4066002.34167
1626652800,1891.65,2199.5,1706.0,2189.79,5095347.76508
1627257600,2189.82,2697.61,2150.5,2555.69,5641339.08902
1627862400,2555.5,3189.99,2442.32,3011.85,6778999.94652
1628467200,3011.84,3330.98,2893.23,3307.09,5111451.04173
1629072000,3307.35,3335.0,2950.0,3238.0,4086298.92413
1629676800,3238.0,3377.89,3053.3,3223.47,3117774.63185
1630281600,3223.47,4027.88,3143.0,3950.29,4245485.901
1630886400,3950.28,3970.0,3005.0,3404.21,4465879.63069
1631491200,3404.3,3676.28,3108.49,3328.62,2944982.7767
1632096000,3328.57,3347.82,2652.0,3059.37,5153870.38815
1632700800,3059.36,3488.0,2782.0,3417.73,3371510.7334
1633305600,3417.73,3695.0,3270.0,3414.22,3329200.9484
1633910400,3414.22,3971.0,3371.0,3846.85,3025204.9133
1634515200,3847.0,4375.0,3676.0,4082.33,3218953.34257
1635120000,4082.33,4460.47,3890.17,4287.21,3405230.00401
1635724800,4287.48,4665.87,4146.3,4612.59,2574084.52541
1636329600,4612.59,4868.0,4461.93,4626.5,2487265.63617
