time,open,high,low,close,vol
1734782400,3442.23,3444.24,3347.0,3390.4,121858.0815
1734796800,3390.4,3401.33,3326.59,3359.89,79490.6857
1734811200,3359.89,3388.88,3293.11,3338.92,61992.3151
1734825600,3338.92,3374.48,3318.71,3356.38,46613.1262
1734840000,3356.38,3361.75,3295.07,3332.4,40581.5308
1734854400,3332.5,3403.0,3331.19,3381.03,44270.8729
1734868800,3381.03,3397.88,3275.0,3302.38,86429.5165
1734883200,3302.38,3338.65,3238.0,3247.14,75577.8841
1734897600,3247.14,3310.93,3221.1,3281.83,68447.319
1734912000,3281.83,3357.03,3216.97,3351.0,92072.9227
1734926400,3351.0,3363.12,3260.48,3305.2,59489.045
1734940800,3305.2,3355.54,3293.5,3339.54,54542.9983
1734955200,3339.51,3361.78,3269.35,3277.2,99124.7485
1734969600,3277.19,3384.6,3270.91,3338.21,97640.678
1734984000,3338.21,3466.99,3329.66,3422.53,85383.0175
1734998400,3422.53,3426.4,3358.19,3396.94,52061.6979
1735012800,3396.95,3434.97,3385.02,3401.22,37688.0563
1735027200,3401.22,3416.65,3385.98,3414.56,34709.9812
1735041600,3414.56,3510.0,3395.59,3493.07,84727.1401
1735056000,3493.07,3539.65,3465.02,3465.52,68642.133
1735070400,3465.51,3505.0,3431.99,3493.18,37894.6678
1735084800,3493.17,3495.97,3458.0,3478.23,37452.4891
1735099200,3478.23,3509.68,3469.61,3489.22,23470.0573
1735113600,3489.21,3547.95,3465.43,3471.04,56689.0785
1735128000,3471.04,3501.05,3457.7,3472.99,43263.8038
1735142400,3473.0,3488.55,3440.93,3481.21,30283.1034
1735156800,3481.21,3500.0,3449.64,3497.0,28687.5131
1735171200,3497.0,3514.94,3450.45,3455.71,39490.1081
1735185600,3455.71,3455.71,3417.95,3422.0,37010.8253
1735200000,3422.0,3426.0,3346.87,3367.05,43371.6217
