time,open,high,low,close,vol
1596240000,2.85,4.8865,2.7431,4.7435,32245620.46
1598918400,4.7432,4.9475,2.0926,2.8967,78974725.9
1601510400,2.8967,2.9889,1.3163,1.5497,48387220.25
1604188800,1.5497,2.51,1.2733,1.9665,76292964.66
1606780800,1.9641,2.2279,1.0301,1.5073,61945745.79
1609459200,1.5088,4.805,1.499,4.2525,228385834.98
1612137600,4.2568,18.2052,4.1075,13.0887,170066006.82
1614556800,13.08,20.87,11.9,19.3861,90104218.62
1617235200,19.3818,48.644,18.345,42.786,180922013.722
1619827200,42.786,58.38,19.117,32.75,249386628.95
1622505600,32.759,44.2,20.187,35.51,199216801.653
1625097600,35.51,38.1,22.1,36.744,102288822.594
1627776000,36.742,130.11,32.327,108.27,181725369.047
1630454400,108.27,216.0,105.89,141.37,236133266.192
1633046400,141.38,218.93,137.61,202.49,114605196.61
1635724800,202.53,259.9,180.93,208.53,68861296.534
1638316800,208.52,243.12,148.04,169.99,60434462.78
1640995200,170.01,179.53,80.83,99.49,70430245.74
1643673600,99.5,121.93,75.35,99.68,81834353.15
1646092800,99.67,129.5,77.65,122.77,88732620.19
1648771200,122.79,143.51,81.91,84.63,74743724.67
1651363200,84.63,95.25,37.37,45.77,148459052.979
1654041600,45.78,46.12,25.86,33.76,198231660.377
1656633600,33.76,47.36,31.82,42.35,141628326.49
1659312000,42.34,48.38,30.0,31.5,114866446.86
1661990400,31.49,39.01,30.01,33.25,90360960.97
1664582400,33.25,34.5,26.84,32.56,67498109.73
1667260800,32.57,38.79,10.94,14.16,242970327.354
1669852800,14.17,14.96,8.0,9.97,101407945.881
1672531200,9.97,26.8,9.69,23.92,265361306.87
1675209600,23.93,27.12,19.68,21.89,146032257.04
1677628800,21.88,23.91,16.0,21.16,160787018.84
1680307200,21.15,26.0,19.85,22.74,115970002.98
1682899200,22.73,23.23,18.66,20.81,82153612.79
1685577600,20.82,22.3,12.8,18.86,130999917.56
1688169600,18.85,32.13,17.9,23.73,176704970.7
1690848000,23.72,25.42,19.35,19.74,91802148.77
1693526400,19.74,21.81,17.33,21.37,79497980.07
1696118400,21.37,38.62,20.93,38.4,165259407.56
1698796800,38.41,68.2,37.81,59.3,266176469.13
1701388800,59.3,126.36,58.6,101.72,261187238.348
1704067200,101.72,116.95,79.0,96.96,192777332.83
1706745600,96.96,134.65,92.88,125.68,143691973.85
1709251200,125.68,210.18,105.0,202.45,246081897.62
1711929600,202.45,204.46,116.0,126.77,177186886.735
1714521600,126.76,188.89,118.47,165.65,121068418.898
1717200000,165.65,175.6,122.0,146.61,82994747.732
1719792000,146.61,193.98,121.0,171.71,108037727.879
1722470400,171.7,172.91,110.0,135.35,145122003.348
1725148800,135.35,161.78,120.0,152.49,87807140.847
1727740800,152.51,183.38,133.11,168.69,96666160.084
1730419200,168.69,264.39,155.11,237.6,160987713.065
1733011200,237.6,247.0,175.26,194.64,117870951.876
